list_no,notice_no,title,dept,publish_date,publish_period,views,notAncmtMgtNo,detail_url,detail_url_http,publish_date_iso,list_page,pos_hits,neg_hits,score,strong_neg,blacklist_hit,is_keyword_candidate,pipeline_status,reject_reason,category
5832,수원시 공고 제2026-1974호,수원도시관리계획(제97호공공청사) 결정(변경)입안에 따른 주민의견 청취 공고,도시계획과,2026-08-31,2026-08-31 ~ 2026-09-14,61,156140,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156140,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156140,2026-08-31,9,,,0,,,False,rejected,not_keyword_candidate,
5831,수원시 농업기술센터 공고 제2026-32호,제15회 전국 규방공예 공모전 수상작 결정 결과 공고,농업기술과,2026-08-31,2026-08-31 ~ 2026-10-01,94,156139,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156139,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156139,2026-08-31,9,공모,,1,,결과 공고,True,rejected,blacklist:결과 공고,
5830,수원시 권선구 권선2동 공고 제2026-52호,권선2동 통장 위촉 공고(제13통),권선2동,2026-08-31,2026-08-31 ~ 2026-09-15,32,156121,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156121,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156121,2026-08-31,9,,,0,,통장,False,rejected,blacklist:통장,
5829,수원시 공고 제2026-1959호,「수원시 모자보건조례」일부개정조례(안) 입법예고,건강관리과,2026-08-31,2026-08-31 ~ 2026-09-21,8,156108,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156108,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156108,2026-08-31,9,,,0,,입법예고,False,rejected,blacklist:입법예고,
5828,수원시 공고 제2026-1955호,보상협의 공시송달 공고[(가칭)새빛학교 신축 사업],도시계획과,2026-08-31,2026-08-31 ~ 2026-09-15,33,156101,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156101,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156101,2026-08-31,9,,"공시송달,보상",-2,공시송달,공시송달,False,rejected,strong_neg:공시송달,
5827,수원시 공고 제2026-1952호,2030년 수원 도시관리계획(재정비) 결정(변경)(안) 및 전략환경영향평가서(초안) 열람공고,도시계획과,2026-08-31,2026-08-31 ~ 2026-09-14,97,156094,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156094,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156094,2026-08-31,9,,,0,,,False,rejected,not_keyword_candidate,
5826,수원시 권선구 공고 제2026-701호,「평동1 지적재조사지구」완료 공람・공고,토지관리과,2026-08-31,2026-08-31 ~ 2026-09-15,30,156092,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156092,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156092,2026-08-31,9,,,0,,공람,False,rejected,blacklist:공람,
5825,수원시 공고 제2026-1941호,수원시 1인가구 일상패키지 지원사업 대상자 모집 공고,가족정책과,2026-08-31,2026-08-31 ~ 2026-09-14,81,156066,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156066,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156066,2026-08-31,9,"모집,지원사업,대상자",,3,,인가,True,rejected,blacklist:인가,
5824,수원시 고시 제2026-374호,소하천정비종합계획의 (변경)고시(당수천),수질하천과,2026-08-31,2026-08-31 ~ 2026-09-14,28,156054,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156054,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156054,2026-08-31,9,,,0,,,False,rejected,not_keyword_candidate,
5823,수원시 고시 제2026-373호,소하천 예정지의 지정(폐지) 및 지형도면 고시(당수천),수질하천과,2026-08-31,2026-08-31 ~ 2026-09-14,18,156053,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156053,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156053,2026-08-31,9,,,0,,,False,rejected,not_keyword_candidate,
